"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","144.83750","144.83750","4","Slot2","Malung VH"
"2","144.85000","144.85000","7","Slot2","Ekenassjon 1 VH"
"3","145.28750","145.28750","5","Slot2","Stigtomta LF"
"4","145.57500","144.97500","0","Slot2","Hogdalen V"
"5","145.57500","144.97500","0","Slot2","Jarlasa 2 V"
"6","145.57500","144.97500","1","Slot2","Kokkola"
"7","145.57500","144.97500","1","Slot2","Lohja"
"8","145.57500","144.97500","1","Slot2","Tampere"
"9","145.57500","144.97500","3","Slot2","Ornskoldsvik 1"
"10","145.57500","144.97500","6","Slot2","Tanumshede VS"
"11","145.57500","144.97500","7","Slot2","Gladsax 1 VI"
"12","145.58750","144.98750","0","Slot2","Skelleftea 2 V"
"13","145.58750","144.98750","1","Slot2","Ylivieska"
"14","145.58750","144.98750","4","Slot2","Leksand 1"
"15","145.58750","144.98750","5","Slot2","Uppsala 1"
"16","145.58750","144.98750","6","Slot2","Kortedala 2 V"
"17","145.58750","144.98750","7","Slot2","Nassjo 1 V"
"18","145.58750","144.98750","14","Slot2","Linderod VI"
"19","145.62500","145.02500","5","Slot2","Linkoping 1"
"20","145.63750","145.03750","1","Slot2","Oulu 1"
"21","145.63750","145.03750","5","Slot2","Flen 1"
"22","145.66250","145.06250","4","Slot2","Ludvika 3 V"
"23","145.67500","145.07500","2","Slot2","Seskaro"
"24","145.67500","145.07500","6","Slot2","Kungshamn VS"
"25","145.70000","145.10000","6","Slot2","Bengtsfors 1 V"
"26","145.71250","145.11250","3","Slot2","Hudiksvall 1"
"27","145.71250","145.11250","6","Slot2","Stenungsun 2 VSE"
"28","145.71250","145.11250","7","Slot2","Ekenassjon 2 V"
"29","145.72500","145.12500","1","Slot2","Kuusamo"
"30","145.72500","145.12500","2","Slot2","Kalix 1"
"31","145.73750","145.13750","0","Slot2","Almsta 1 V"
"32","145.73750","145.13750","6","Slot2","Uddevalla 1 VS"
"33","145.75000","145.15000","4","Slot2","Karlskoga 1"
"34","145.76250","145.16250","6","Slot2","Trollhattan 1 V"
"35","145.78750","145.18750","1","Slot2","Tervola"
"36","432.50000","432.50000","1","Slot2","Sunne 2 HI"
"37","433.20000","433.20000","0","Slot2","Eksharad HI"
"38","433.56250","433.56250","0","Slot2","Skene 2 UHI"
"39","433.76250","433.76250","0","Slot2","Karlsborg 2 UL"
"40","434.37500","434.37500","5","Slot2","Uppsala 3 H"
"41","434.51250","432.51250","0","Slot2","Espoo 1 U"
"42","434.51250","432.51250","1","Slot2","Uppsala 4"
"43","434.51250","432.51250","1","Slot2","Skien Vealoes"
"44","434.51250","432.51250","1","Slot2","Espoo"
"45","434.51250","432.51250","1","Slot2","Aanekoski"
"46","434.51250","432.51250","1","Slot2","Saarijarvi UF"
"47","434.51250","432.51250","2","Slot2","Kiruna 2"
"48","434.51250","432.51250","12","Slot2","Tyreso U"
"49","434.51250","432.51250","12","Slot2","Yding 4 U"
"50","434.51250","432.51250","12","Slot2","Tyreso U+"
"51","434.52500","432.52500","1","Slot2","Drammen"
"52","434.52500","432.52500","1","Slot2","Imatra"
"53","434.52500","432.52500","1","Slot2","Vantaa"
"54","434.52500","432.52500","1","Slot2","Tampere 2 UF"
"55","434.52500","432.52500","3","Slot2","Follinge"
"56","434.52500","432.52500","3","Slot2","Soderhamn 3"
"57","434.52500","432.52500","5","Slot2","Knivsta"
"58","434.52500","432.52500","7","Slot2","Savsjo"
"59","434.52500","432.52500","7","Slot2","Kristianstad 2 U"
"60","434.53750","432.53750","1","Slot2","Jyvaskyla"
"61","434.53750","432.53750","1","Slot2","Lappeenranta"
"62","434.53750","432.53750","1","Slot2","Porvoo"
"63","434.53750","432.53750","5","Slot2","Norrkoping 7 U"
"64","434.53750","432.53750","6","Slot2","Alingsas 3 U"
"65","434.55000","432.55000","0","Slot2","Lahti 1 U"
"66","434.55000","432.55000","1","Slot2","Lahti"
"67","434.55000","432.55000","1","Slot2","Raasepori"
"68","434.55000","432.55000","1","Slot2","Tampere 3 UF"
